claim_number;age_of_driver;gender;marital_status;safty_rating;annual_income;high_education_ind;address_change_ind;living_status;zip_code;claim_date;claim_day_of_week;accident_site;past_num_of_claims;witness_present_ind;liab_prct;channel;policy_report_filed_ind;claim_est_payout;age_of_vehicle;vehicle_category;vehicle_price;vehicle_color;vehicle_weight;fraud
1;46;M;1.0;85;38301;1;1;Rent;80006;12/16/2016;Friday;Local;1;0.0;74;Broker;0;7.530.940.993.000.000;9.0;Compact;1.288.545.235;white;1.616.133.381;0
3;21;F;0.0;75;30445;0;1;Rent;15021;02/12/2015;Thursday;Highway;1;1.0;79;Online;0;2.966.024.895;4.0;Large;2.942.945.218;white;28.691.964.219.999.900;0
4;49;F;0.0;87;38923;0;1;Own;20158;12/06/2016;Tuesday;Local;0;0.0;0;Broker;0;6.283.888.333;3.0;Compact;2.170.118.195;white;2.209.094.758;1
5;58;F;1.0;58;40605;1;0;Own;15024;05/05/2016;Thursday;Local;3;0.0;99;Broker;1;6.169.747.993.999.990;4.0;Medium;1.319.827.344;other;38.329.581.060.000.000;1
6;38;M;1.0;95;36380;1;0;Rent;50034;10/27/2015;Tuesday;Highway;0;1.0;7;Broker;0;454.138.715;7.0;Medium;3.806.021.122;gray;2.587.656.319;0
7;56;F;0.0;72;40240;0;0;Own;50047;11/16/2016;Wednesday;Highway;0;0.0;64;Phone;0;5.388.645.056;4.0;Medium;17.688.204.980.000.000;black;15.234.082.040.000.000;1
8;27;M;1.0;80;32952;1;0;Rent;15001;3/14/2015;Saturday;Parking Lot;0;0.0;50;Online;1;8.960.072.398.999.990;7.0;Compact;26.411.536.819.999.900;red;2.899.453.868;0
10;40;M;1.0;79;36891;1;1;Own;80016;01/07/2016;Thursday;Local;5;0.0;95;Online;1;138.443.649;8.0;Medium;11.355.270.129.999.900;other;3.404.583.028;0
12;45;F;0.0;86;38069;0;1;Own;15024;3/31/2015;Tuesday;Parking Lot;0;0.0;3;Broker;0;60.385.015.140.000.000;5.0;Compact;4.926.797.071;black;2.320.650.804;0
15;31;M;1.0;80;34324;0;1;Rent;85032;09/03/2015;Thursday;Parking Lot;0;0.0;9;Broker;0;58.699.478.579.999.900;5.0;Large;1.992.978.577;white;372.777.591;0
16;53;F;1.0;76;39699;1;0;Own;15057;5/14/2016;Saturday;Local;0;0.0;19;Broker;0;8.201.183.031.999.990;6.0;Medium;2.415.655.616;blue;14.259.725.869.999.900;0
17;59;F;1.0;93;40753;1;1;Own;50033;02/12/2015;Thursday;Local;0;1.0;8;Broker;1;6.051.751.915;3.0;Large;7.697.895.045;black;6.736.245.994;0
19;25;M;1.0;75;32194;1;0;Rent;80003;07/11/2015;Saturday;Parking Lot;1;0.0;99;Online;0;4.225.808.816;5.0;Large;18.676.987.530.000.000;white;5.011.824.995;0
20;39;F;0.0;35;36635;0;1;Rent;15035;4/20/2015;Monday;Local;0;0.0;98;Phone;1;4.650.054.155;6.0;Compact;1.791.704.586;red;1.375.212.455;1
21;51;M;0.0;75;39322;0;1;Own;85023;6/30/2015;Tuesday;Local;0;0.0;12;Broker;1;6.671.129.734;5.0;Medium;5.601.223.142.999.990;black;15.393.233.119.999.900;0
25;47;M;1.0;87;38516;0;0;Rent;15020;08/05/2015;Wednesday;Local;0;0.0;57;Broker;0;6.521.146.712;4.0;Medium;36.074.484.769.999.900;blue;14.712.630.630.000.000;1
26;26;M;1.0;83;32592;1;0;Rent;20135;11/11/2015;Wednesday;Parking Lot;0;0.0;81;Phone;1;8.782.034.073;7.0;Compact;2.834.054.126;black;2.553.826.508;0
29;46;M;0.0;81;38293;1;1;Rent;20101;2/19/2016;Friday;Local;0;0.0;50;Broker;1;4.559.869.785;3.0;Medium;1.644.255.536;blue;2.542.181.041;1
30;43;F;1.0;96;37609;0;1;Own;15056;4/23/2016;Saturday;Parking Lot;2;0.0;71;Online;1;6.835.285.806.999.990;5.0;Compact;149.375.385;silver;2.006.332.729;1
31;39;M;0.0;91;36639;1;0;Rent;80003;11/03/2015;Tuesday;Local;0;1.0;57;Broker;1;6.466.409.413;4.0;Compact;2.008.860.345;silver;2.680.402.332;0
